,id,text,date,comments,likes,reposts
0,425359,"Анонимно) 
Ребята, кто изучает и очень любит маркетинг/менеджмент/ивентменеджмент и кого можно помучать вопросами)) 
Отпишите, пожалуйста🙏🏼♥",1568376600,0,0,0
1,425357,Ищу учебник English file ELEMENTARY,1568374800,0,0,0
2,425355,"Ребята с майноров психология и современное искусство, отзовитесь! Хотелось бы задать пару вопросов",1568373000,2,0,0
3,425348,"анонимно) 
кто с уб первый курс и тоже ищет друзей, лайкните пост, давай знакомиться :)",1568371200,1,0,0
4,425343,"Анон. Продам учебник Ready For IELTS в электронном виде. Естественно, дешевле, чем в бумажном. Лайкайте пост.",1568369400,9,1,0
5,425340,"До 20 сентября первый покур 500 рублей на любом табаке

Скажи Баян 500 и скидка твоя 🍭

Оформи клубную карту и получай каждый день с 13:00 - 17:00 скидку 300 рублей на кальян 🌪
Reserve&info 8-915-398-01-58
Ул.Бауманская 33/2 строение 3
[club172642204|@bayanlounge]
🔞
Bayan-lounge.ru",1568365740,0,0,0
6,425302,"Кто может отдать/продать учебник по французскому языку (вышкинский, 2 часть)?
Напишите, пожалуйста, в комментариях, я вам напишу.",1568362200,0,0,0
7,425294,"Кто хочет на майнор ""Менеджмент"", напишите в ЛС свой майнор, поменяемся.",1568358709,0,0,0
8,425287,"Ребят, кто нибудь учится на факультете ""Управление бизнесом""? Можете рассказать что там и как там🤔
Не анонимно",1568340600,1,0,0
9,425286,"Кто хочет на майнор Human Rights? Обменяю на нейросети или на ""от молекул до чего-то там"" и еще рассмотрю варианты...",1568338800,0,1,0
10,425285,"Привет! Куплю учебник «Ready for IELTS» (!!second edition!! и при отсутствии не стирающихся пометок). Оставьте комментарий, напишу в лс.",1568337000,0,0,0
11,425284,"Магистры ""Бизнес-информатики"", отзовитесь в комментариях! Хотелось бы задать пару вопросов по поступлению и по обучению)

Анонимно",1568335200,1,0,0
12,425283,"Анон.
Кто живет в общаге в дубках? Интересует 3 дом, 807 квартира:)",1568333400,0,0,0
13,425280,"Все, кто хочет уйти с ИАДа - лайк",1568331600,0,0,0
14,425279,"Ready for ielts только учебник (с диском). 1000
Complete ielts учебник и тетрадь (и диски к ним). 1500
Q Skills for success просто учебник. 500
Состояние новых)",1568329800,0,0,0
15,425277,Кто-нибудь собирается уходить с майнора по психологии?,1568328000,0,0,0
16,425274,"Всем привет!! Студенты с майнора менеджмент! Может быть кто-то из вас хочет уйти? Или поменять свой на «Современный культурный процесс»? 
Может быть вы просто знаете такого человека?🙂 напишите или лайкните, я напишу сама)
Это очень важно, буду рада любой помощи или информации
Всех хорошего дня♥

Если можно, то не анонимно пожалуйста",1568326200,0,0,0
17,425271,"Привет. Ни у кого нет ""Высшей математики для экономистов"" Кремера и ""Аналитической геометрии"" Беклемишева? Анонимно",1568324400,1,0,0
18,425264,"Возможно ли перевестись с другого вуза в ВШЭ после первого семестра на 1 курсе? 
Анон",1568322600,5,0,0
19,425261,"Люди, проживающие в трилистнике в двушке или трёшке, желательно чистой и уютной, и у которых есть свободное место, отпишитесь пожалуйста, девушка🙏🙏

Нужно переехать, проблемы с соседями

Анонимно",1568320800,0,0,0
20,425259,"Привет, магистр Управления Проектов!
Подскажи пожалуйста, доволен ли ты своей программой? Получаешь ли ты то, зачем пришел?
Ты чувствуешь применимость своих знаний в будущей или настоящей профессии? Расскажи, интересно!",1568319000,1,3,0
21,425253,"Поменяю свой майнор нейросети на любой ваш (почти любой) 
Лайкайте пост, напишу 
Анон",1568317200,1,5,0
22,425249,Продам учебники Кузьменковой!,1568315400,0,0,0
23,425246,"Ребят, никто на днях в Нидерланды случайно не собирается?",1568313600,1,3,0
24,425243,"Поменяю свой майнор ""безопасность предпринимательской деятельности"" на ""внутрикорпоративное предпринимательство""
Если кто-то хочет обменяться, отпишитесь в комментариях",1568311800,0,0,0
25,425237,"Привет! Отпишитесь в комментариях, если у вас есть опыт поступления в магистратуру заграницу и вы готовы поделиться советами/впечатлениями. Заранее спасибо",1568310000,0,1,0
26,425233,"Поменяю отличный майнор ""Менеджмент"" на какой-нибудь другой. Рассмотрю любые варианты в лс.",1568308200,2,0,0
27,425230,"подскажите, по каким дням и где факультатив Линор Горалик о моде, костюме личности?",1568306400,0,0,0
28,425226,Куплю или приму в дар тетрадь ready for ielts,1568304600,1,0,0
29,425207,"Спорите с одногруппниками, куда пойти между парами и как лучше отдохнуть субботним вечером?

КальянКульт — место, где вас встретят с неподдельной улыбкой, проводят до столика и вынесут паровой коктейль за 5 минут.

У нас оборудованная гейм зона с мощными компьютерами и консолями PS4. Осторожно — затягивает на полдня!

По промокоду «Вконтакте» ты получаешь второй паровой коктейль в подарок*.

Кликай по ссылкам:
⚫ Instagram: https://www.instagram.com/kalyankult_game
⚫ Сайт: http://kult-kalyan.ru/

📍 Мы находимся по адресу: ул. Шаболовка, 2

*Необходимо назвать промокод перед заказом сотруднику.",1568300940,0,1,0
